Result_Column_Name,Result_Type,Dose,DoseUnit,Temperature,TemperatureUnit,Repeat,SampleName,SampleGroup,ProjectName,ExperimentName
Intensity A1,Intensity,1000000,nM,37,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A10,Intensity,1000000,nM,37.6,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A11,Intensity,1000000,nM,39,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A12,Intensity,1000000,nM,41.5,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A2,Intensity,1000000,nM,44.9,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A3,Intensity,1000000,nM,49.1,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A4,Intensity,1000000,nM,54.1,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A5,Intensity,1000000,nM,58.5,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A6,Intensity,1000000,nM,61.8,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A7,Intensity,1000000,nM,64.7,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A8,Intensity,1000000,nM,66.2,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity A9,Intensity,1000000,nM,67,F,R1,Project_1,Experiment_1,1000uM,1000uM_1000000nM_1
Intensity B1,Intensity,100000,nM,37,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B10,Intensity,100000,nM,37.6,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B11,Intensity,100000,nM,39,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B12,Intensity,100000,nM,41.5,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B2,Intensity,100000,nM,44.9,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B3,Intensity,100000,nM,49.1,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B4,Intensity,100000,nM,54.1,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B5,Intensity,100000,nM,58.5,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B6,Intensity,100000,nM,61.8,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B7,Intensity,100000,nM,64.7,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B8,Intensity,100000,nM,66.2,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity B9,Intensity,100000,nM,67,F,R1,Project_1,Experiment_1,100uM,100uM_100000nM_1
Intensity C1,Intensity,1000,nM,37,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C10,Intensity,1000,nM,37.6,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C11,Intensity,1000,nM,39,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C12,Intensity,1000,nM,41.5,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C2,Intensity,1000,nM,44.9,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C3,Intensity,1000,nM,49.1,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C4,Intensity,1000,nM,54.1,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C5,Intensity,1000,nM,58.5,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C6,Intensity,1000,nM,61.8,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C7,Intensity,1000,nM,64.7,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C8,Intensity,1000,nM,66.2,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity C9,Intensity,1000,nM,67,F,R1,Project_1,Experiment_1,1uM,1uM_1000nM_1
Intensity D1,Intensity,100,nM,37,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D10,Intensity,100,nM,37.6,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D11,Intensity,100,nM,39,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D12,Intensity,100,nM,41.5,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D2,Intensity,100,nM,44.9,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D3,Intensity,100,nM,49.1,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D4,Intensity,100,nM,54.1,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D5,Intensity,100,nM,58.5,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D6,Intensity,100,nM,61.8,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D7,Intensity,100,nM,64.7,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D8,Intensity,100,nM,66.2,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity D9,Intensity,100,nM,67,F,R1,Project_1,Experiment_1,0.1uM,0.1uM_100nM_1
Intensity E1,Intensity,0,nM,37,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E10,Intensity,0,nM,37.6,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E11,Intensity,0,nM,39,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E12,Intensity,0,nM,41.5,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E2,Intensity,0,nM,44.9,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E3,Intensity,0,nM,49.1,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E4,Intensity,0,nM,54.1,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E5,Intensity,0,nM,58.5,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E6,Intensity,0,nM,61.8,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E7,Intensity,0,nM,64.7,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E8,Intensity,0,nM,66.2,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
Intensity E9,Intensity,0,nM,67,F,R1,Project_1,Experiment_1,DMSO,DMSO_0nM_1
